"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-01","17.67",,"0.00","0.0","0.0","40","42","34","  290","  290","28.0","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-02","9.62",,"0.00","0.0","0.0","38","48","31","  190","  190","16.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-03","6.49",,"0.13","0.0","0.0","44","48","42","  240","  250","13.0","16.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-04","8.28",,"0.16","0.0","0.0","47","51","43","  330","  320","25.9","35.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-05","21.47",,"0.00","0.0","0.0","41","49","35","  310","  300","38.0","51.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-06","13.87",,"0.03","0.3","0.0","38","45","32","  290","  300","21.9","23.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-07","8.50",,"0.03","0.0","0.0","40","44","35","  250","   90","16.1","18.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-08","20.80",,"0.00","0.0","0.0","37","43","28","  310","  310","31.1","40.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-09","11.18",,"0.00","0.0","0.0","29","34","24","  300","  320","28.0","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-10","7.83",,"0.00","0.0","0.0","39","51","32","  230","  230","15.0","18.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-11","17.90",,"0.00","0.0","0.0","50","57","46","  190","  190","29.1","38.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-12","19.91",,"0.03","0.0","0.0","58","68","43","  190","  180","38.0","48.1","    1",,,,,,,
